,minute,symbol,ofi_0_h_i_t,ofi_1_h_i_t,ofi_2_h_i_t,ofi_3_h_i_t,ofi_4_h_i_t,ofi_5_h_i_t,ofi_6_h_i_t,ofi_7_h_i_t,ofi_8_h_i_t,ofi_9_h_i_t,ofi_pca_proj
0,2024-10-21 11:54,AAPL,-59.88721804511279,39.02255639097745,61.12781954887219,-17.59398496240602,-6.879699248120302,65.41353383458647,4.962406015037595,-27.85714285714286,76.35338345864663,66.54135338345866,-2.239890633008157
1,2024-10-21 11:55,AAPL,-265.15340151178304,387.16318363717215,402.632281013784,-48.150289017341045,-58.82614495331259,162.9702089817697,-147.93686082703425,56.86527345486884,314.3930635838151,-126.14939973321478,-30.22710343972953
2,2024-10-21 11:56,AAPL,53.41625944024877,-91.6392714349178,303.38516215015545,-93.55841848067524,104.27365615282096,-43.500666370502,-10.235450910706351,135.61972456685916,-23.029764549089293,40.46201688138605,-69.19414764148448
3,2024-10-21 11:57,AAPL,409.0190609019061,329.5304509530451,132.35239423523942,214.15620641562063,-671.4086471408647,392.0409112040911,-117.30357973035797,-129.2654579265458,702.6638772663877,63.668061366806135,-81.69220985391345
4,2024-10-21 11:58,AAPL,255.08308895405668,7.478005865102639,447.0185728250244,251.34408602150532,28.66568914956012,-487.316715542522,540.4936461388074,-4.569892473118279,258.4066471163245,1020.3323558162268,-216.77897574284998
5,2024-10-21 11:59,AAPL,102.23133716160788,586.7309269893354,247.88351107465132,-600.19688269073,-41.77194421657096,167.91222313371614,158.29368334700573,7.145200984413453,339.9466776045939,162.6907301066448,-149.95760265746696
6,2024-10-21 12:00,AAPL,180.58252427184465,271.74757281553394,439.22330097087377,94.07766990291262,-210.0,43.68932038834952,-143.00970873786406,-65.24271844660194,480.5825242718447,-668.4466019417475,-39.45744306220525
7,2024-10-21 12:01,AAPL,-218.19059107358265,127.96139927623642,742.6135906714917,536.7269802975472,78.19863289103337,-175.53679131483713,409.31242460796136,-260.5709690390028,212.7221552070768,193.8560514676317,-114.08231307875018
8,2024-10-21 12:02,AAPL,-126.03437301082116,-64.06747294716742,98.9369828134946,126.45448758752389,-74.2552514322088,36.44493952896245,130.2355187778485,-176.76320814767666,235.47422024188415,-170.67154678548698,64.05566308915341
9,2024-10-21 12:03,AAPL,-43.57712305025997,36.39514731369151,74.73136915077991,129.27556325823227,-65.51126516464473,67.84055459272098,77.15771230502601,-122.9670710571924,197.11611785095323,-192.0693240901213,29.18626823607177
10,2024-10-21 12:04,AAPL,24.672131147540977,-17.958626073380167,39.27400468384074,208.9578454332552,-45.48399687743949,-23.83294301327088,49.17642466822794,-64.78532396565183,12.25214676034348,-167.16627634660418,6.303545905894565
11,2024-10-21 12:05,AAPL,73.05941542884523,135.8648778150455,99.20699568758984,532.4365117393387,400.6732151413512,127.14901772879732,934.9041686631527,541.9214183037853,-551.4063248682319,250.96550071873503,-262.2457846177289
12,2024-10-21 12:06,AAPL,-749.7918731417245,570.9737363726463,-98.1392467789891,408.6124876114966,418.6471754212092,162.76263627353816,237.2200198216056,-54.58870168483648,157.94598612487613,-238.62487611496533,101.42166499838297
13,2024-10-21 12:07,AAPL,-137.99104922923917,-693.8189955246145,1046.340129288911,118.67230233714568,547.73247140726,-309.0999502734957,398.8861263053207,365.2163102933864,-841.9293883639979,27.04624564893088,-208.53022948114338
14,2024-10-21 12:08,AAPL,92.15548882215548,-700.286953620287,107.43576910243576,292.8128128128128,-94.76142809476144,568.687020353687,-335.81081081081084,612.3957290623957,-217.35902569235904,101.986986986987,-7.775238663269538
15,2024-10-21 12:09,AAPL,41.12136844963346,-304.9687754547924,-90.00814553353246,510.5756177029596,145.7778984523487,977.73554167798,-504.22210154765145,95.83220200923162,661.2951398316591,729.5954385012219,42.216069167617015
16,2024-10-21 12:10,AAPL,1.0614995787700086,-124.66722830665545,-453.9679865206403,-158.2813816343724,394.64195450716096,513.4119629317607,-35.029486099410285,8.491996630160068,411.39005897219886,1170.8340353833194,22.84284005485415
17,2024-10-21 12:11,AAPL,-0.0976971388695045,337.7390090718772,-1532.9658060013958,1818.2414515003488,-614.026517794836,673.0355896720167,-92.7145847871598,314.7801814375436,-129.35101186322402,-26.573621772505238,175.7379843126009
18,2024-10-21 12:12,AAPL,-229.44210348896007,-1221.1562447328502,315.3615371650093,974.0771953480534,319.244901398955,529.1083768751054,-87.53750210685995,488.0094387325131,318.9212877127929,-18.76959379740435,157.6111908774243
19,2024-10-21 12:13,AAPL,-188.61209964412808,-1215.200813421454,991.5607524148448,-226.3345195729537,636.6107439417048,-779.5966785290627,799.8949330621928,1574.4619556007451,-451.9505168615488,-1417.6444670394849,-11.314324642716839
20,2024-10-21 12:14,AAPL,-1.35938543754175,-10.751503006012024,37.19772879091517,312.96760187040746,-95.34235136940548,100.84168336673346,112.6436205744823,258.2214428857715,-354.8613894455578,39.66933867735471,-79.47267013953405
21,2024-10-21 12:15,AAPL,-528.9125761375851,-144.1132210677177,-1537.4919383733431,1441.9849516302402,-327.66571121461845,-311.8900035829452,1579.4894303117164,2923.195987101398,-2456.3203152991764,-1809.7294876388396,25.065799747534648
22,2024-10-21 12:16,AAPL,-729.4246176256372,42.06117989803349,671.522214129643,-660.4151493080843,462.1267297887836,96.32192279679532,-106.15440640932265,951.383831026948,-1352.8769118718133,1029.31536780772,-277.24053255519186
23,2024-10-21 12:17,AAPL,-466.1016056857068,-840.3790471176626,174.51961042379574,158.41010792313767,244.86443801000263,1020.0,1099.4735456699132,-1142.7007107133456,-179.35246117399316,1805.8752303237693,-23.974808354372115
