,minute,symbol,ofi_0_h_i_t,ofi_1_h_i_t,ofi_2_h_i_t,ofi_3_h_i_t,ofi_4_h_i_t,ofi_5_h_i_t,ofi_6_h_i_t,ofi_7_h_i_t,ofi_8_h_i_t,ofi_9_h_i_t
0,2024-10-21 11:54,AAPL,-59.88721804511279,39.02255639097745,61.12781954887219,-17.59398496240602,-6.879699248120302,65.41353383458647,4.962406015037595,-27.85714285714286,76.35338345864663,66.54135338345866
1,2024-10-21 11:55,AAPL,-265.15340151178304,387.16318363717215,402.63228101378394,-48.150289017341045,-58.82614495331259,162.9702089817697,-147.93686082703425,56.86527345486884,314.3930635838151,-126.14939973321478
2,2024-10-21 11:56,AAPL,53.41625944024877,-91.6392714349178,303.38516215015545,-93.55841848067524,104.27365615282096,-43.500666370501996,-10.235450910706351,135.61972456685916,-23.029764549089293,40.46201688138605
3,2024-10-21 11:57,AAPL,409.0190609019061,329.5304509530451,132.35239423523942,214.15620641562063,-671.4086471408647,392.0409112040911,-117.30357973035797,-129.2654579265458,702.6638772663877,63.668061366806135
4,2024-10-21 11:58,AAPL,255.08308895405668,7.478005865102639,447.0185728250244,251.34408602150535,28.665689149560116,-487.316715542522,540.4936461388074,-4.569892473118279,258.4066471163245,1020.3323558162267
5,2024-10-21 11:59,AAPL,102.23133716160787,586.7309269893354,247.88351107465135,-600.19688269073,-41.77194421657096,167.91222313371614,158.29368334700573,7.145200984413453,339.9466776045939,162.6907301066448
6,2024-10-21 12:00,AAPL,180.58252427184465,271.74757281553394,439.22330097087377,94.07766990291262,-209.99999999999997,43.689320388349515,-143.00970873786406,-65.24271844660194,480.58252427184465,-668.4466019417475
7,2024-10-21 12:01,AAPL,-218.19059107358262,127.96139927623642,742.6135906714917,536.7269802975472,78.19863289103337,-175.53679131483713,409.31242460796136,-260.5709690390028,212.72215520707678,193.85605146763166
8,2024-10-21 12:02,AAPL,-126.03437301082116,-64.06747294716742,98.93698281349461,126.45448758752389,-74.2552514322088,36.44493952896245,130.2355187778485,-176.76320814767666,235.47422024188418,-170.67154678548698
9,2024-10-21 12:03,AAPL,-43.57712305025997,36.39514731369151,74.73136915077991,129.27556325823227,-65.51126516464473,67.84055459272098,77.15771230502601,-122.9670710571924,197.11611785095323,-192.06932409012134
10,2024-10-21 12:04,AAPL,24.672131147540977,-17.958626073380167,39.274004683840744,208.95784543325522,-45.48399687743949,-23.832943013270878,49.17642466822794,-64.78532396565183,12.252146760343479,-167.16627634660418
11,2024-10-21 12:05,AAPL,73.05941542884523,135.8648778150455,99.20699568758984,532.4365117393387,400.6732151413512,127.14901772879732,934.9041686631529,541.9214183037853,-551.4063248682319,250.96550071873503
12,2024-10-21 12:06,AAPL,-749.7918731417245,570.9737363726463,-98.1392467789891,408.6124876114966,418.64717542120917,162.76263627353816,237.22001982160558,-54.58870168483648,157.94598612487613,-238.62487611496533
13,2024-10-21 12:07,AAPL,-137.99104922923917,-693.8189955246145,1046.340129288911,118.67230233714568,547.73247140726,-309.0999502734957,398.8861263053207,365.21631029338636,-841.9293883639979,27.046245648930878
14,2024-10-21 12:08,AAPL,92.15548882215549,-700.286953620287,107.43576910243577,292.8128128128128,-94.76142809476143,568.687020353687,-335.81081081081084,612.3957290623957,-217.35902569235904,101.98698698698699
15,2024-10-21 12:09,AAPL,41.12136844963346,-304.96877545479236,-90.00814553353246,510.5756177029596,145.77789845234867,977.7355416779801,-504.22210154765145,95.83220200923162,661.2951398316591,729.5954385012219
16,2024-10-21 12:10,AAPL,1.0614995787700086,-124.66722830665545,-453.9679865206403,-158.2813816343724,394.64195450716096,513.4119629317607,-35.029486099410285,8.491996630160068,411.39005897219886,1170.8340353833194
17,2024-10-21 12:11,AAPL,-0.09769713886950454,337.7390090718772,-1532.9658060013958,1818.2414515003488,-614.026517794836,673.0355896720167,-92.71458478715981,314.7801814375436,-129.35101186322402,-26.573621772505234
18,2024-10-21 12:12,AAPL,-229.44210348896007,-1221.1562447328502,315.3615371650093,974.0771953480534,319.244901398955,529.1083768751054,-87.53750210685995,488.0094387325131,318.9212877127929,-18.76959379740435
19,2024-10-21 12:13,AAPL,-188.61209964412808,-1215.2008134214539,991.5607524148448,-226.3345195729537,636.6107439417048,-779.5966785290627,799.8949330621928,1574.4619556007453,-451.9505168615488,-1417.6444670394847
20,2024-10-21 12:14,AAPL,-1.35938543754175,-10.751503006012024,37.197728790915164,312.96760187040746,-95.34235136940548,100.84168336673346,112.6436205744823,258.2214428857715,-354.8613894455578,39.66933867735471
21,2024-10-21 12:15,AAPL,-528.9125761375851,-144.1132210677177,-1537.4919383733431,1441.9849516302402,-327.66571121461845,-311.8900035829452,1579.4894303117164,2923.195987101398,-2456.3203152991764,-1809.7294876388394
22,2024-10-21 12:16,AAPL,-729.4246176256372,42.061179898033494,671.522214129643,-660.4151493080843,462.1267297887836,96.32192279679532,-106.15440640932263,951.3838310269481,-1352.8769118718133,1029.3153678077201
23,2024-10-21 12:17,AAPL,-466.10160568570683,-840.3790471176626,174.51961042379574,158.41010792313767,244.86443801000266,1020.0000000000001,1099.4735456699132,-1142.7007107133456,-179.35246117399316,1805.8752303237695
24,2024-10-21 12:18,AAPL,-531.1646386888503,212.80854233921033,6.511050409734294,-297.7948845294264,257.8718649118451,360.67792401291285,23.131363297740254,-516.2577601191955,-37.866898435559975,1203.687608641669
25,2024-10-21 12:19,AAPL,-408.8471849865952,763.1367292225202,-135.25469168900807,129.89276139410188,42.62734584450403,-15.683646112600538,183.51206434316356,-89.8123324396783,-83.24396782841823,-66.75603217158178
26,2024-10-21 12:20,AAPL,-91.21800529567518,102.11827007943512,345.25154457193287,496.0194174757281,-121.62400706090025,58.97616946160635,618.9055604589585,-356.8402471315092,-34.42188879082082,-75.61341571050308
27,2024-10-21 12:21,AAPL,0.0,-194.0600176522507,172.5132391879965,318.7533097969992,19.600617828773174,-223.11341571050315,553.4046778464256,-274.8256840247132,7.367608120035306,181.27096204766113
28,2024-10-21 12:22,AAPL,16.064215432418436,-142.1853961677887,-252.9259451061626,405.0233039875712,-308.29621957534954,144.46400828586223,435.21491455204557,-408.4412221646815,-63.345416882444326,-51.15484205075091
29,2024-10-21 12:23,AAPL,-111.97919375812745,228.82704811443438,-1229.9453836150847,-1308.1482444733422,1833.6592977893372,-1485.24577373212,3406.236671001301,-1142.3094928478545,-215.43823146944086,-517.5994798439533
